,i,min energy
0,0,9.589590379092925e-30
1,1,8.035755420166564e-09
2,2,1.133029549046474e-07
3,3,2.5691996294807796e-07
4,4,7.905924881599532e-07
5,5,1.3938232825013201e-06
6,6,1.928464609364047e-06
7,7,3.107972456306067e-06
8,8,4.780433794644425e-06
9,9,7.0270277019264984e-06
10,10,1.0147558006256337e-05
11,11,1.4800125416732496e-05
12,12,2.0538358203142256e-05
13,13,2.816414697984387e-05
14,14,3.797636851442087e-05
15,15,5.018805825394723e-05
16,16,6.517031931174899e-05
17,17,8.350380706019534e-05
18,18,0.00010517072759775606
19,19,0.00013105449841535686
20,20,0.00016165184137770483
21,21,0.00019732368476132575
22,22,0.00023877220634726525
23,23,0.00028664808917623353
24,24,0.0003416759818133936
25,25,0.00040424237100984657
26,26,0.000475433391674756
27,27,0.0005559322156340569
28,28,0.0006466126214525044
29,29,0.000748293501543737
30,30,0.0008619509093587027
31,31,0.0009885720477825837
32,32,0.0011291907454017104
33,33,0.0012849008701437275
34,34,0.0014568410453295454
35,35,0.0016462077033967096
36,36,0.0018542827112981671
37,37,0.0020822877793978925
38,38,0.0023317077101163678
39,39,0.002603856042684034
40,40,0.002900301523198052
